data,nome,codigo,temperatura
2005-11-30,CARANGOLA,A503,24.005436
2005-12-31,CARANGOLA,A503,25.156317
2006-01-31,CARANGOLA,A503,27.591129
2006-02-28,CARANGOLA,A503,28.827116
2006-03-31,CARANGOLA,A503,26.489886
2006-04-30,CARANGOLA,A503,24.311889
2006-05-31,CARANGOLA,A503,21.748053
2006-06-30,CARANGOLA,A503,20.61776
2006-07-31,CARANGOLA,A503,21.065736
2006-08-31,CARANGOLA,A503,22.795833
2006-09-30,CARANGOLA,A503,20.078133
2006-10-31,CARANGOLA,A503,21.44422
2006-11-30,CARANGOLA,A503,22.186164
2006-12-31,CARANGOLA,A503,22.758236
2007-01-31,CARANGOLA,A503,23.488844
2007-02-28,CARANGOLA,A503,23.17632
2007-03-31,CARANGOLA,A503,24.220174
2007-04-30,CARANGOLA,A503,22.06811
2007-05-31,CARANGOLA,A503,18.819676
2007-06-30,CARANGOLA,A503,18.627391
2007-07-31,CARANGOLA,A503,18.672128
2007-08-31,CARANGOLA,A503,19.403945
2007-09-30,CARANGOLA,A503,21.079964
2007-10-31,CARANGOLA,A503,23.216293
2007-11-30,CARANGOLA,A503,22.812179
2007-12-31,CARANGOLA,A503,23.980511
2008-01-31,CARANGOLA,A503,22.737097
2008-02-29,CARANGOLA,A503,23.448994
2008-03-31,CARANGOLA,A503,22.844489
2008-04-30,CARANGOLA,A503,22.549583
2008-05-31,CARANGOLA,A503,18.951525
2008-06-30,CARANGOLA,A503,18.249751
2008-07-31,CARANGOLA,A503,17.330242
2008-08-31,CARANGOLA,A503,19.903763
2008-09-30,CARANGOLA,A503,20.13875
2008-10-31,CARANGOLA,A503,22.549328
2008-11-30,CARANGOLA,A503,21.423958
2008-12-31,CARANGOLA,A503,
2009-01-31,CARANGOLA,A503,
2009-02-28,CARANGOLA,A503,
2009-03-31,CARANGOLA,A503,
2009-04-30,CARANGOLA,A503,
2009-05-31,CARANGOLA,A503,
2009-06-30,CARANGOLA,A503,
2009-07-31,CARANGOLA,A503,
2009-08-31,CARANGOLA,A503,20.648707
2009-09-30,CARANGOLA,A503,23.745
2009-10-31,CARANGOLA,A503,23.187213
2009-11-30,CARANGOLA,A503,25.790054
2009-12-31,CARANGOLA,A503,25.070833
2010-01-31,CARANGOLA,A503,26.816887
2010-02-28,CARANGOLA,A503,26.549851
2010-03-31,CARANGOLA,A503,24.981855
2010-04-30,CARANGOLA,A503,22.701944
2010-05-31,CARANGOLA,A503,20.761828
2010-06-30,CARANGOLA,A503,18.299583
2010-07-31,CARANGOLA,A503,19.839516
2010-08-31,CARANGOLA,A503,19.516734
2010-09-30,CARANGOLA,A503,21.914484
2003-01-31,ALFENAS,A504,
2003-02-28,ALFENAS,A504,
2003-03-31,ALFENAS,A504,
2003-04-30,ALFENAS,A504,20.979362
2003-05-31,ALFENAS,A504,17.140171
2003-06-30,ALFENAS,A504,18.615179
2003-07-31,ALFENAS,A504,17.12687
2003-08-31,ALFENAS,A504,17.811832
2003-09-30,ALFENAS,A504,
2003-10-31,ALFENAS,A504,
2003-11-30,ALFENAS,A504,
2003-12-31,ALFENAS,A504,
2004-01-31,ALFENAS,A504,
2004-02-29,ALFENAS,A504,
2004-03-31,ALFENAS,A504,
2004-04-30,ALFENAS,A504,
2004-05-31,ALFENAS,A504,17.519049
2004-06-30,ALFENAS,A504,16.27723
2004-07-31,ALFENAS,A504,15.604653
2004-08-31,ALFENAS,A504,18.3906
2004-09-30,ALFENAS,A504,22.703485
2004-10-31,ALFENAS,A504,20.277862
2004-11-30,ALFENAS,A504,
2003-01-31,ARAXA,A505,22.14664
2003-02-28,ARAXA,A505,23.473958
2003-03-31,ARAXA,A505,21.874597
2003-04-30,ARAXA,A505,21.634306
2003-05-31,ARAXA,A505,18.646955
2003-06-30,ARAXA,A505,20.054255
2003-07-31,ARAXA,A505,18.976075
2003-08-31,ARAXA,A505,20.266532
2003-09-30,ARAXA,A505,21.739583
2003-10-31,ARAXA,A505,22.437366
2003-11-30,ARAXA,A505,21.711389
2003-12-31,ARAXA,A505,22.913978
2004-01-31,ARAXA,A505,22.074503
2004-02-29,ARAXA,A505,21.27703
2004-03-31,ARAXA,A505,21.314919
2004-04-30,ARAXA,A505,21.219275
2004-05-31,ARAXA,A505,19.427102
2004-06-30,ARAXA,A505,18.185296
2004-07-31,ARAXA,A505,17.497148
2004-08-31,ARAXA,A505,20.432065
2004-09-30,ARAXA,A505,23.79718
2004-10-31,ARAXA,A505,22.39034
2004-11-30,ARAXA,A505,22.406394
2004-12-31,ARAXA,A505,21.674909
2005-01-31,ARAXA,A505,22.38915
2005-02-28,ARAXA,A505,22.619661
2005-03-31,ARAXA,A505,22.272915
2005-04-30,ARAXA,A505,22.728101
2005-05-31,ARAXA,A505,19.68294
2005-06-30,ARAXA,A505,18.67449
2005-07-31,ARAXA,A505,18.609308
2005-08-31,ARAXA,A505,20.668717
2005-09-30,ARAXA,A505,21.695353
2005-10-31,ARAXA,A505,24.277627
2005-11-30,ARAXA,A505,21.402245
2005-12-31,ARAXA,A505,20.914651
2006-01-31,ARAXA,A505,22.802823
2006-02-28,ARAXA,A505,22.982798
2006-03-31,ARAXA,A505,22.129123
2006-04-30,ARAXA,A505,21.45124
2006-05-31,ARAXA,A505,19.503423
2006-06-30,ARAXA,A505,18.112013
2006-07-31,ARAXA,A505,19.355411
2006-08-31,ARAXA,A505,21.286144
2006-09-30,ARAXA,A505,21.031053
2006-10-31,ARAXA,A505,21.363073
2006-11-30,ARAXA,A505,21.608351
2006-12-31,ARAXA,A505,21.454214
2007-01-31,ARAXA,A505,21.842204
2007-02-28,ARAXA,A505,22.2875
2007-03-31,ARAXA,A505,23.602227
2007-04-30,ARAXA,A505,22.126872
2007-05-31,ARAXA,A505,19.671622
2007-06-30,ARAXA,A505,19.688919
2007-07-31,ARAXA,A505,19.285764
2007-08-31,ARAXA,A505,20.584128
2007-09-30,ARAXA,A505,23.074149
2007-10-31,ARAXA,A505,24.074772
2007-11-30,ARAXA,A505,22.178177
2007-12-31,ARAXA,A505,22.030671
2008-01-31,ARAXA,A505,
2008-02-29,ARAXA,A505,
2008-03-31,ARAXA,A505,
2008-04-30,ARAXA,A505,
2008-05-31,ARAXA,A505,19.515865
2008-06-30,ARAXA,A505,19.267889
2008-07-31,ARAXA,A505,18.660215
2008-08-31,ARAXA,A505,21.196774
2008-09-30,ARAXA,A505,21.661389
2008-10-31,ARAXA,A505,23.17836
2008-11-30,ARAXA,A505,21.795
2008-12-31,ARAXA,A505,21.11707
2009-01-31,ARAXA,A505,21.72379
2009-02-28,ARAXA,A505,22.71369
2009-03-31,ARAXA,A505,22.198521
2009-04-30,ARAXA,A505,20.906111
2009-05-31,ARAXA,A505,19.704301
2009-06-30,ARAXA,A505,17.92125
2009-07-31,ARAXA,A505,20.203091
2009-08-31,ARAXA,A505,20.05336
2009-09-30,ARAXA,A505,22.355
2009-10-31,ARAXA,A505,22.004023
2009-11-30,ARAXA,A505,23.23125
2009-12-31,ARAXA,A505,21.617473
2010-01-31,ARAXA,A505,22.990604
2010-02-28,ARAXA,A505,23.473661
2010-03-31,ARAXA,A505,22.468145
2010-04-30,ARAXA,A505,21.457778
2010-05-31,ARAXA,A505,19.839113
2010-06-30,ARAXA,A505,18.175
2010-07-31,ARAXA,A505,19.405411
2010-08-31,ARAXA,A505,20.430663
2010-09-30,ARAXA,A505,22.419028
2010-10-31,ARAXA,A505,22.375
2010-11-30,ARAXA,A505,21.359167
2010-12-31,ARAXA,A505,22.945968
2011-01-31,ARAXA,A505,22.482124
2011-02-28,ARAXA,A505,23.331548
2011-03-31,ARAXA,A505,21.166274
2011-04-30,ARAXA,A505,21.444583
